Date,Tm,,Opp,Result2,Result,GS,MP2,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,plmi
12/1/99,LAL,,GSW,W,1,0,29:52:00,29,7,18,0.389,0,3,0,5,6,0.833,3,3,6,3,0,0,2,4,19,10.3,13
12/3/99,LAL,,POR,W,1,0,34:09:00,34,6,15,0.4,0,1,0,11,13,0.846,2,6,8,0,2,1,0,4,23,18.4,19
12/5/99,LAL,,ORL,W,1,0,25:25:00,25,6,12,0.5,2,3,0.667,1,2,0.5,0,3,3,3,1,1,4,2,15,8.5,14
12/7/99,LAL,,WAS,W,1,0,30:37:00,30,5,13,0.385,0,1,0,11,14,0.786,0,1,1,2,2,0,3,4,21,11.8,9
12/8/99,LAL,@,SAC,L,0,1,41:45:00,41,11,19,0.579,1,2,0.5,4,5,0.8,0,6,6,5,1,0,6,1,27,17.6,-8
12/11/99,LAL,@,VAN,W,1,1,39:19:00,39,5,12,0.417,0,0,0,4,4,1,1,5,6,7,0,5,2,3,14,15,10
12/12/99,LAL,,DET,W,1,1,35:15:00,35,11,24,0.458,0,2,0,4,5,0.8,1,4,5,6,1,1,3,5,26,16,16
12/14/99,LAL,,LAC,W,1,1,30:27:00,30,5,12,0.417,0,1,0,8,9,0.889,0,3,3,3,2,2,1,1,18,16.2,40
12/16/99,LAL,@,ATL,W,1,1,40:24:00,40,10,19,0.526,0,1,0,10,11,0.909,1,6,7,2,0,1,0,6,30,22.5,9
12/17/99,LAL,@,MIN,W,1,1,44:30:00,44,10,24,0.417,0,2,0,8,9,0.889,3,4,7,12,1,0,4,5,28,21.5,7
12/19/99,LAL,@,TOR,W,1,1,40:23:00,40,9,20,0.45,0,0,0,8,11,0.727,0,3,3,3,3,0,4,5,26,14.4,6
12/20/99,LAL,@,BOS,W,1,1,45:16:00,45,9,17,0.529,1,1,1,8,8,1,0,4,4,4,4,0,3,3,27,22.5,6
12/25/99,LAL,,SAS,W,1,1,35:16:00,35,7,19,0.368,0,1,0,4,5,0.8,0,5,5,5,0,0,4,3,18,6.9,1
12/27/99,LAL,,DAL,W,1,1,41:59:00,41,10,22,0.455,1,1,1,4,4,1,2,7,9,4,3,0,3,3,25,18.7,9
12/29/99,LAL,,PHO,W,1,1,40:59:00,40,8,15,0.533,0,0,0,2,2,1,0,6,6,6,1,0,4,3,18,12.5,14
1/4/00,LAL,@,LAC,W,1,1,37:04:00,37,12,26,0.462,0,1,0,5,7,0.714,5,4,9,2,1,0,4,4,29,16.3,10
1/5/00,LAL,,LAC,W,1,1,36:54:00,36,11,22,0.5,0,1,0,4,6,0.667,3,7,10,6,1,2,2,3,26,21.8,12
1/7/00,LAL,,CHH,W,1,1,35:50:00,35,5,19,0.263,1,4,0.25,2,2,1,3,7,10,4,1,0,5,5,13,2.7,-7
1/8/00,LAL,@,SEA,W,1,1,42:49:00,42,11,18,0.611,5,7,0.714,4,5,0.8,0,6,6,1,3,1,3,4,31,24,15
1/10/00,LAL,,DEN,W,1,1,36:00:00,36,12,18,0.667,4,6,0.667,2,2,1,4,3,7,4,4,1,1,2,30,31.6,38
1/12/00,LAL,@,MIL,W,1,1,43:00:00,43,10,19,0.526,0,3,0,2,2,1,2,2,4,5,3,2,3,5,22,17.6,9
1/14/00,LAL,@,IND,L,0,1,39:56:00,39,7,19,0.368,0,1,0,4,4,1,2,5,7,3,0,1,2,6,18,8.8,-12
1/15/00,LAL,@,MIN,W,1,1,39:51:00,39,8,18,0.444,2,3,0.667,4,5,0.8,0,3,3,6,1,2,2,4,22,16.1,12
1/17/00,LAL,,SEA,L,0,1,41:31:00,41,6,18,0.333,0,5,0,3,4,0.75,1,13,14,2,4,0,3,3,15,10.2,-2
1/19/00,LAL,,CLE,W,1,1,41:06:00,41,6,15,0.4,0,2,0,13,14,0.929,3,10,13,4,0,2,6,4,25,18.2,8
1/22/00,LAL,,POR,L,0,1,36:47:00,36,13,19,0.684,1,2,0.5,1,2,0.5,0,4,4,2,1,0,2,6,28,18.7,-8
1/24/00,LAL,@,UTA,L,0,1,44:11:00,44,9,24,0.375,1,2,0.5,7,8,0.875,2,5,7,1,0,3,4,5,26,12.1,-11
1/28/00,LAL,,MIL,W,1,1,32:44:00,32,8,15,0.533,1,2,0.5,6,6,1,0,2,2,0,3,1,0,4,23,18.4,23
1/30/00,LAL,@,HOU,L,0,1,41:14:00,41,6,22,0.273,0,2,0,5,6,0.833,1,3,4,5,1,0,2,3,17,6.5,-5
2/1/00,LAL,@,SAS,L,0,1,40:57:00,40,7,14,0.5,0,1,0,5,6,0.833,1,6,7,8,4,2,1,3,19,22.9,-20
2/4/00,LAL,,UTA,W,1,1,25:56:00,25,5,8,0.625,0,1,0,3,5,0.6,0,4,4,9,2,1,4,4,13,13.2,24
2/7/00,LAL,,DEN,W,1,1,41:50:00,41,10,21,0.476,3,5,0.6,6,7,0.857,1,8,9,11,1,3,4,2,29,27,7
2/9/00,LAL,,MIN,W,1,1,33:03:00,33,9,17,0.529,2,2,1,4,5,0.8,2,3,5,4,1,0,5,1,24,16,15
2/15/00,LAL,@,CHI,W,1,1,41:52:00,41,8,14,0.571,1,3,0.333,4,4,1,1,4,5,5,5,2,4,1,21,21.8,15
2/16/00,LAL,@,CHH,W,1,1,33:31:00,33,9,18,0.5,0,1,0,8,8,1,3,4,7,6,0,0,3,3,26,20.3,9
