Date,Age,Tm,,Opp,Result,GS,MP2,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,plmi
11/2/99,27-241,LAL,@,UTA,W,1,34:26:00,34,9,20,0.45,0,0,0,5,11,0.455,5,8,13,1,1,2,2,4,23,15.6,16
11/3/99,27-242,LAL,,VAN,W,1,33:55:00,33,13,22,0.591,0,0,0,2,6,0.333,4,6,10,4,0,3,1,3,28,23.5,17
11/6/99,27-245,LAL,@,POR,L,1,33:08:00,33,9,14,0.643,0,0,0,3,11,0.273,4,6,10,0,0,2,2,0,21,15.6,-5
11/7/99,27-246,LAL,,DAL,W,1,37:04:00,37,10,14,0.714,0,0,0,10,23,0.435,5,15,20,1,1,1,2,5,30,25.4,17
11/9/99,27-248,LAL,@,DAL,W,1,38:09:00,38,12,16,0.75,0,0,0,3,14,0.214,4,6,10,2,0,3,7,5,27,15.3,19
11/10/99,27-249,LAL,@,HOU,W,1,14:54,14,3,6,0.5,0,0,0,0,0,0,2,5,7,1,0,1,1,1,6,5.9,5
11/14/99,27-253,LAL,,ATL,W,1,37:50:00,37,11,23,0.478,0,0,0,1,7,0.143,5,6,11,3,1,3,1,3,23,17.2,10
11/15/99,27-254,LAL,@,PHO,W,1,43:02:00,43,14,27,0.519,0,0,0,6,14,0.429,4,14,18,4,0,8,1,4,34,30.3,11
11/18/99,27-257,LAL,@,DEN,L,1,42:41:00,42,17,27,0.63,0,0,0,2,14,0.143,2,6,8,6,0,3,3,5,36,23.6,-5
11/19/99,27-258,LAL,,CHI,W,1,43:21:00,43,11,13,0.846,0,0,0,19,31,0.613,7,10,17,1,1,7,2,4,41,42.4,14
11/21/99,27-260,LAL,,TOR,L,1,45:27:00,45,15,25,0.6,0,0,0,7,16,0.438,8,11,19,5,0,3,4,3,37,31.2,-14
11/24/99,27-263,LAL,,UTA,W,1,45:07:00,45,14,24,0.583,0,0,0,11,20,0.55,6,12,18,4,1,3,2,2,39,35.1,11
11/26/99,27-265,LAL,,NJN,W,1,40:45:00,40,14,24,0.583,0,0,0,2,6,0.333,2,14,16,7,0,4,0,2,30,29.7,19
11/30/99,27-269,LAL,@,SEA,W,1,32:54:00,32,11,19,0.579,0,0,0,5,9,0.556,2,8,10,3,1,4,0,3,27,25,8
12/1/99,27-270,LAL,,GSW,W,1,35:29:00,35,12,21,0.571,0,0,0,4,8,0.5,7,16,23,1,1,4,1,4,28,28.1,17
12/3/99,27-272,LAL,,POR,W,1,47:08:00,47,8,16,0.5,0,0,0,5,14,0.357,6,10,16,6,0,2,3,2,21,18.4,8
12/5/99,27-274,LAL,,ORL,W,1,38:47:00,38,11,16,0.688,0,0,0,5,11,0.455,5,5,10,7,2,2,2,3,27,27.9,23
12/7/99,27-276,LAL,,WAS,W,1,45:49:00,45,14,23,0.609,0,0,0,2,6,0.333,2,14,16,1,2,7,1,3,30,28.9,11
12/8/99,27-277,LAL,@,SAC,L,1,39:18:00,39,11,19,0.579,0,0,0,5,8,0.625,4,5,9,2,0,0,5,4,27,16,-8
12/11/99,27-280,LAL,@,VAN,W,1,43:56:00,43,13,22,0.591,0,0,0,4,9,0.444,3,7,10,4,2,3,3,4,30,24.3,7
12/12/99,27-281,LAL,,DET,W,1,39:59:00,39,10,18,0.556,0,0,0,2,5,0.4,7,17,24,1,0,4,3,5,22,20.7,16
